drug_S	action	drug_T	cyps
cocaine	enhances	ibrutinib	2D6
cocaine	enhances	imipramine	2D6
cocaine	enhances	letermovir	2D6
cocaine	enhances	lidocaine	2D6
cocaine	enhances	metoclopramide	2D6
cocaine	enhances	metoprolol	2D6
cocaine	enhances	mexiletine	2D6
cocaine	enhances	minaprine	2D6
cocaine	enhances	nebivolol	2D6
cocaine	enhances	nortriptyline	2D6
cocaine	enhances	ondansetron	2D6
cocaine	enhances	oxycodone	2D6
cocaine	enhances	palonosetron	2D6
cocaine	enhances	paroxetine	2D6
cocaine	enhances	perhexiline	2D6
cocaine	enhances	perphenazine	2D6
cocaine	enhances	phenacetin	2D6
cocaine	enhances	phenformin	2D6
cocaine	enhances	pimavanserin	2D6
cocaine	enhances	pomalidomide	2D6
cocaine	enhances	ponatinib	2D6
cocaine	enhances	promethazine	2D6
cocaine	enhances	propafenone	2D6
cocaine	enhances	propranolol	2D6
cocaine	enhances	risperidone	2D6
cocaine	enhances	rucaparib	2D6
cocaine	enhances	sparteine	2D6
cocaine	enhances	tamoxifen	2D6
cocaine	enhances	tetrabenazine	2D6
cocaine	enhances	thioridazine	2D6
cocaine	enhances	timolol	2D6
cocaine	enhances	tramadol	2D6
cocaine	enhances	umeclidinium	2D6
cocaine	enhances	valbenazine	2D6
cocaine	enhances	venlafaxine	2D6
cocaine	enhances	vilazodone	2D6
cocaine	enhances	zuclopenthixol	2D6
crizotinib	enhances	abemaciclib	3A457
crizotinib	enhances	abiraterone	3A457
crizotinib	enhances	acalabrutinib	3A457
crizotinib	enhances	alectinib	3A457
crizotinib	enhances	alfentanil	3A457
crizotinib	enhances	alprazolam	3A457
crizotinib	enhances	amitriptyline	3A457
crizotinib	enhances	amlodipine	3A457
crizotinib	enhances	apixaban	3A457
crizotinib	enhances	aprepitant	3A457
crizotinib	enhances	aripiprazole	3A457
crizotinib	enhances	astemizole	3A457
crizotinib	enhances	atorvastatin	3A457
crizotinib	enhances	avanafil	3A457
crizotinib	enhances	axitinib	3A457
crizotinib	enhances	boceprevir	3A457
crizotinib	enhances	bosutinib	3A457
crizotinib	enhances	brexpiprazole	3A457
crizotinib	enhances	buspirone	3A457
crizotinib	enhances	caffeine	3A457
crizotinib	enhances	cariprazine	3A457
crizotinib	enhances	ceritinib	3A457
crizotinib	enhances	cerivastatin	3A457
crizotinib	enhances	chlorpheniramine	3A457
crizotinib	enhances	cilostazol	3A457
crizotinib	enhances	cisapride	3A457
crizotinib	enhances	citalopram	3A457
crizotinib	enhances	clarithromycin	3A457
crizotinib	enhances	clopidogrel	3A457
crizotinib	enhances	cobimetinib	3A457
crizotinib	enhances	cocaine	3A457
crizotinib	enhances	codeine	3A457
crizotinib	enhances	colchicine	3A457
crizotinib	enhances	copanlisib	3A457
crizotinib	enhances	cyclosporine	3A457
crizotinib	enhances	daclatasvir	3A457
crizotinib	enhances	dapsone	3A457
crizotinib	enhances	deflazacort	3A457
crizotinib	enhances	dexamethasone	3A457
crizotinib	enhances	dextromethorphan	3A457
crizotinib	enhances	diazepam	3A457
crizotinib	enhances	diltiazem	3A457
crizotinib	enhances	docetaxel	3A457
crizotinib	enhances	dolutegravir	3A457
crizotinib	enhances	domperidone	3A457
crizotinib	enhances	doxepin	3A457
crizotinib	enhances	elbasvir	3A457
crizotinib	enhances	eliglustat	3A457
crizotinib	enhances	eplerenone	3A457
crizotinib	enhances	ergotamine	3A457
crizotinib	enhances	erythromycin	3A457
crizotinib	enhances	escitalopram	3A457
crizotinib	enhances	esomeprazole	3A457
crizotinib	enhances	estradiol	3A457
crizotinib	enhances	felodipine	3A457
crizotinib	enhances	fentanyl	3A457
crizotinib	enhances	finasteride	3A457
crizotinib	enhances	flibanserin	3A457
crizotinib	enhances	haloperidol	3A457
crizotinib	enhances	hydrocortisone	3A457
crizotinib	enhances	ibrutinib	3A457
crizotinib	enhances	idelalisib	3A457
crizotinib	enhances	imatinib	3A457
crizotinib	enhances	indacaterol	3A457
crizotinib	enhances	indinavir	3A457
crizotinib	enhances	irinotecan	3A457
crizotinib	enhances	isavuconazole	3A457
crizotinib	enhances	ivabradine	3A457
crizotinib	enhances	ivacaftor	3A457
crizotinib	enhances	lansoprazole	3A457
crizotinib	enhances	lenvatinib	3A457
crizotinib	enhances	lercanidipine	3A457
crizotinib	enhances	levacetylmethadol	3A457
crizotinib	enhances	lidocaine	3A457
crizotinib	enhances	linagliptin	3A457
crizotinib	enhances	lovastatin	3A457
crizotinib	enhances	macitentan	3A457
crizotinib	enhances	methadone	3A457
crizotinib	enhances	midazolam	3A457
crizotinib	enhances	naldemedine	3A457
crizotinib	enhances	naloxegol	3A457
crizotinib	enhances	nateglinide	3A457
crizotinib	enhances	nelfinavir	3A457
crizotinib	enhances	neratinib	3A457
crizotinib	enhances	nifedipine	3A457
crizotinib	enhances	nisoldipine	3A457
crizotinib	enhances	nitrendipine	3A457
crizotinib	enhances	olaparib	3A457
crizotinib	enhances	omeprazole	3A457
crizotinib	enhances	ondansetron	3A457
crizotinib	enhances	osimertinib	3A457
crizotinib	enhances	ospemifene	3A457
crizotinib	enhances	paclitaxel	3A457
crizotinib	enhances	palbociclib	3A457
crizotinib	enhances	palonosetron	3A457
crizotinib	enhances	panobinostat	3A457
crizotinib	enhances	pantoprazole	3A457
crizotinib	enhances	perampanel	3A457
crizotinib	enhances	pimavanserin	3A457
crizotinib	enhances	pimozide	3A457
crizotinib	enhances	pomalidomide	3A457
crizotinib	enhances	ponatinib	3A457
crizotinib	enhances	progesterone	3A457
crizotinib	enhances	propranolol	3A457
crizotinib	enhances	quetiapine	3A457
crizotinib	enhances	quinidine	3A457
crizotinib	enhances	quinine	3A457
crizotinib	enhances	regorafenib	3A457
crizotinib	enhances	ribociclib	3A457
crizotinib	enhances	rilpivirine	3A457
crizotinib	enhances	risperidone	3A457
crizotinib	enhances	ritonavir	3A457
crizotinib	enhances	rivaroxaban	3A457
crizotinib	enhances	roflumilast	3A457
crizotinib	enhances	rolapitant	3A457
crizotinib	enhances	romidepsin	3A457
crizotinib	enhances	rucaparib	3A457
crizotinib	enhances	ruxolitinib	3A457
crizotinib	enhances	salmeterol	3A457
crizotinib	enhances	saquinavir	3A457
crizotinib	enhances	selexipag	3A457
crizotinib	enhances	sildenafil	3A457
crizotinib	enhances	simeprevir	3A457
crizotinib	enhances	simvastatin	3A457
crizotinib	enhances	sirolimus	3A457
crizotinib	enhances	sonidegib	3A457
crizotinib	enhances	sorafenib	3A457
crizotinib	enhances	sunitinib	3A457
crizotinib	enhances	suvorexant	3A457
crizotinib	enhances	tacrolimus	3A457
crizotinib	enhances	tadalafil	3A457
crizotinib	enhances	tamoxifen	3A457
crizotinib	enhances	tasimelteon	3A457
crizotinib	enhances	telaprevir	3A457
crizotinib	enhances	telithromycin	3A457
crizotinib	enhances	temsirolimus	3A457
crizotinib	enhances	terfenadine	3A457
crizotinib	enhances	testosterone	3A457
crizotinib	enhances	ticagrelor	3A457
crizotinib	enhances	tofacitinib	3A457
crizotinib	enhances	tolvaptan	3A457
crizotinib	enhances	tramadol	3A457
crizotinib	enhances	trazodone	3A457
crizotinib	enhances	triazolam	3A457
crizotinib	enhances	valbenazine	3A457
crizotinib	enhances	vandetanib	3A457
crizotinib	enhances	vardenafil	3A457
crizotinib	enhances	velpatasvir	3A457
crizotinib	enhances	vemurafenib	3A457
crizotinib	enhances	venetoclax	3A457
crizotinib	enhances	venlafaxine	3A457
crizotinib	enhances	verapamil	3A457
crizotinib	enhances	vilazodone	3A457
crizotinib	enhances	vincristine	3A457
crizotinib	enhances	vorapaxar	3A457
crizotinib	enhances	voriconazole	3A457
crizotinib	enhances	zaleplon	3A457
crizotinib	enhances	ziprasidone	3A457
crizotinib	enhances	zolpidem	3A457
dabrafenib	reduces	abemaciclib	3A457
dabrafenib	reduces	abiraterone	3A457
dabrafenib	reduces	acalabrutinib	3A457
dabrafenib	reduces	alectinib	3A457
dabrafenib	reduces	alfentanil	3A457
dabrafenib	reduces	alprazolam	3A457
dabrafenib	reduces	amitriptyline	2C9,3A457
dabrafenib	reduces	amlodipine	3A457
dabrafenib	reduces	apixaban	3A457
dabrafenib	reduces	aripiprazole	3A457
dabrafenib	reduces	artemisinin	2B6
dabrafenib	reduces	astemizole	3A457
dabrafenib	reduces	atorvastatin	3A457
dabrafenib	reduces	avanafil	3A457
dabrafenib	reduces	axitinib	3A457
dabrafenib	reduces	azilsartan	2C9
dabrafenib	reduces	bosutinib	3A457
dabrafenib	reduces	brexpiprazole	3A457
dabrafenib	reduces	brigatinib	3A457
dabrafenib	reduces	bupropion	2B6
dabrafenib	reduces	buspirone	3A457
dabrafenib	reduces	caffeine	3A457
dabrafenib	reduces	capecitabine	2C9
dabrafenib	reduces	carbamazepine	3A457
dabrafenib	reduces	cariprazine	3A457
dabrafenib	reduces	celecoxib	2C9
dabrafenib	reduces	cerivastatin	3A457
dabrafenib	reduces	chlorpheniramine	3A457
dabrafenib	reduces	cilostazol	3A457
dabrafenib	reduces	cisapride	3A457
dabrafenib	reduces	citalopram	3A457
dabrafenib	reduces	clobazam	2B6,3A457
dabrafenib	reduces	clopidogrel	2C9,3A457
dabrafenib	reduces	cobimetinib	3A457
dabrafenib	reduces	cocaine	3A457
dabrafenib	reduces	codeine	3A457
dabrafenib	reduces	colchicine	3A457
dabrafenib	reduces	copanlisib	3A457
dabrafenib	reduces	cyclophosphamide	2B6
dabrafenib	reduces	cyclosporine	3A457
dabrafenib	reduces	daclatasvir	3A457
dabrafenib	reduces	dapsone	3A457
dabrafenib	reduces	deflazacort	3A457
dabrafenib	reduces	dexamethasone	3A457
dabrafenib	reduces	dextromethorphan	3A457
dabrafenib	reduces	diazepam	3A457
dabrafenib	reduces	diclofenac	2C9
dabrafenib	reduces	docetaxel	3A457
dabrafenib	reduces	dolutegravir	3A457
dabrafenib	reduces	domperidone	3A457
dabrafenib	reduces	doxepin	2C9,3A457
dabrafenib	reduces	efavirenz	2B6
dabrafenib	reduces	elagolix	3A457
dabrafenib	reduces	elbasvir	3A457
dabrafenib	reduces	eliglustat	3A457
dabrafenib	reduces	enzalutamide	3A457
dabrafenib	reduces	eplerenone	3A457
dabrafenib	reduces	ergotamine	3A457
dabrafenib	reduces	escitalopram	3A457
dabrafenib	reduces	estradiol	3A457
dabrafenib	reduces	felodipine	3A457
dabrafenib	reduces	fentanyl	3A457
dabrafenib	reduces	finasteride	3A457
dabrafenib	reduces	flibanserin	3A457
dabrafenib	reduces	fluoxetine	2C9
dabrafenib	reduces	fluvastatin	2C9
dabrafenib	reduces	glimepiride	2C9
dabrafenib	reduces	glipizide	2C9
dabrafenib	reduces	glyburide	2C9
dabrafenib	reduces	haloperidol	3A457
dabrafenib	reduces	hydrocortisone	3A457
dabrafenib	reduces	ibrutinib	3A457
dabrafenib	reduces	ibuprofen	2C9
dabrafenib	reduces	ifosfamide	2B6
dabrafenib	reduces	indacaterol	3A457
dabrafenib	reduces	irbesartan	2C9
dabrafenib	reduces	irinotecan	3A457
dabrafenib	reduces	isavuconazole	3A457
dabrafenib	reduces	ivabradine	3A457
dabrafenib	reduces	ivacaftor	3A457
dabrafenib	reduces	ketamine	2B6
dabrafenib	reduces	lansoprazole	3A457
dabrafenib	reduces	lenvatinib	3A457
dabrafenib	reduces	lercanidipine	3A457
dabrafenib	reduces	lesinurad	2C9
dabrafenib	reduces	levacetylmethadol	3A457
dabrafenib	reduces	lidocaine	3A457
dabrafenib	reduces	linagliptin	3A457
dabrafenib	reduces	lornoxicam	2C9
dabrafenib	reduces	losartan	2C9
dabrafenib	reduces	lovastatin	3A457
dabrafenib	reduces	macitentan	3A457
dabrafenib	reduces	meloxicam	2C9
dabrafenib	reduces	meperidine	2B6
dabrafenib	reduces	methadone	2B6,3A457
dabrafenib	reduces	midazolam	3A457
dabrafenib	reduces	naldemedine	3A457
dabrafenib	reduces	naloxegol	3A457
dabrafenib	reduces	naproxen	2C9
dabrafenib	reduces	nateglinide	2C9,3A457
dabrafenib	reduces	neratinib	3A457
dabrafenib	reduces	nevirapine	2B6,3A457
dabrafenib	reduces	nifedipine	3A457
dabrafenib	reduces	nisoldipine	3A457
dabrafenib	reduces	nitrendipine	3A457
dabrafenib	reduces	olaparib	3A457
dabrafenib	reduces	olodaterol	2C9
dabrafenib	reduces	ondansetron	3A457
dabrafenib	reduces	osimertinib	3A457
dabrafenib	reduces	ospemifene	2C9,3A457
dabrafenib	reduces	paclitaxel	3A457
dabrafenib	reduces	palbociclib	3A457
dabrafenib	reduces	panobinostat	3A457
dabrafenib	reduces	phenytoin	2C9
dabrafenib	reduces	pimavanserin	3A457
dabrafenib	reduces	pimozide	3A457
dabrafenib	reduces	piroxicam	2C9
dabrafenib	reduces	pomalidomide	3A457
dabrafenib	reduces	ponatinib	3A457
dabrafenib	reduces	progesterone	3A457
dabrafenib	reduces	propofol	2B6
dabrafenib	reduces	propranolol	3A457
dabrafenib	reduces	quetiapine	3A457
dabrafenib	reduces	quinidine	3A457
dabrafenib	reduces	quinine	3A457
dabrafenib	reduces	rilpivirine	3A457
dabrafenib	reduces	risperidone	3A457
dabrafenib	reduces	rivaroxaban	3A457
dabrafenib	reduces	roflumilast	3A457
dabrafenib	reduces	rolapitant	3A457
dabrafenib	reduces	romidepsin	3A457
dabrafenib	reduces	rosiglitazone	2C9
dabrafenib	reduces	ruxolitinib	2C9,3A457
dabrafenib	reduces	salmeterol	3A457
dabrafenib	reduces	selegiline	2B6
dabrafenib	reduces	selexipag	3A457
dabrafenib	reduces	sildenafil	3A457
dabrafenib	reduces	simvastatin	3A457
dabrafenib	reduces	sirolimus	3A457
dabrafenib	reduces	sonidegib	3A457
dabrafenib	reduces	sorafenib	2B6,3A457
dabrafenib	reduces	sunitinib	3A457
dabrafenib	reduces	suprofen	2C9
dabrafenib	reduces	suvorexant	3A457
dabrafenib	reduces	tacrolimus	3A457
dabrafenib	reduces	tadalafil	3A457
dabrafenib	reduces	tamoxifen	2C9,3A457
dabrafenib	reduces	tasimelteon	3A457
dabrafenib	reduces	temsirolimus	3A457
dabrafenib	reduces	terfenadine	3A457
dabrafenib	reduces	testosterone	3A457
dabrafenib	reduces	ticagrelor	3A457
dabrafenib	reduces	tofacitinib	3A457
dabrafenib	reduces	tolbutamide	2C9
dabrafenib	reduces	tolvaptan	3A457
dabrafenib	reduces	torasemide	2C9
dabrafenib	reduces	tramadol	2B6,3A457
dabrafenib	reduces	trazodone	3A457
dabrafenib	reduces	triazolam	3A457
dabrafenib	reduces	valbenazine	3A457
dabrafenib	reduces	valproate	2C9
dabrafenib	reduces	vandetanib	3A457
dabrafenib	reduces	vardenafil	3A457
dabrafenib	reduces	velpatasvir	2B6,3A457
dabrafenib	reduces	vemurafenib	3A457
dabrafenib	reduces	venetoclax	3A457
dabrafenib	reduces	venlafaxine	2C9,3A457
dabrafenib	reduces	vilazodone	3A457
dabrafenib	reduces	vincristine	3A457
dabrafenib	reduces	vorapaxar	3A457
dabrafenib	reduces	voriconazole	2C9
dabrafenib	reduces	warfarin	2C9
dabrafenib	reduces	zafirlukast	2C9
dabrafenib	reduces	zaleplon	3A457
dabrafenib	reduces	ziprasidone	3A457
dabrafenib	reduces	zolpidem	3A457
deferasirox	enhances	amodiaquine	2C8
deferasirox	enhances	cerivastatin	2C8
deferasirox	enhances	dabrafenib	2C8
deferasirox	enhances	enzalutamide	2C8
deferasirox	enhances	olodaterol	2C8
deferasirox	enhances	paclitaxel	2C8
deferasirox	enhances	ponatinib	2C8
deferasirox	enhances	repaglinide	2C8
deferasirox	enhances	selexipag	2C8
deferasirox	enhances	sorafenib	2C8
deferasirox	enhances	torasemide	2C8
deferasirox	enhances	tucatinib	2C8
delavirdine	enhances	abemaciclib	3A457
delavirdine	enhances	abiraterone	3A457
delavirdine	enhances	acalabrutinib	3A457
delavirdine	enhances	alectinib	3A457
delavirdine	enhances	alfentanil	3A457
delavirdine	enhances	alprazolam	3A457
delavirdine	enhances	amitriptyline	3A457
delavirdine	enhances	amlodipine	3A457
delavirdine	enhances	apixaban	3A457
delavirdine	enhances	aprepitant	3A457
delavirdine	enhances	aripiprazole	3A457
delavirdine	enhances	astemizole	3A457
delavirdine	enhances	atorvastatin	3A457
delavirdine	enhances	avanafil	3A457
delavirdine	enhances	axitinib	3A457
delavirdine	enhances	boceprevir	3A457
delavirdine	enhances	bosutinib	3A457
delavirdine	enhances	brexpiprazole	3A457
delavirdine	enhances	brigatinib	3A457
delavirdine	enhances	buspirone	3A457
delavirdine	enhances	caffeine	3A457
delavirdine	enhances	carbamazepine	3A457
delavirdine	enhances	cariprazine	3A457
delavirdine	enhances	ceritinib	3A457
delavirdine	enhances	cerivastatin	3A457
delavirdine	enhances	chlorpheniramine	3A457
delavirdine	enhances	cilostazol	3A457
delavirdine	enhances	cisapride	3A457
delavirdine	enhances	citalopram	3A457
delavirdine	enhances	clarithromycin	3A457
delavirdine	enhances	clobazam	3A457
delavirdine	enhances	clopidogrel	3A457
delavirdine	enhances	cobimetinib	3A457
delavirdine	enhances	cocaine	3A457
delavirdine	enhances	codeine	3A457
delavirdine	enhances	colchicine	3A457
delavirdine	enhances	copanlisib	3A457
delavirdine	enhances	crizotinib	3A457
delavirdine	enhances	cyclosporine	3A457
delavirdine	enhances	dabrafenib	3A457
delavirdine	enhances	daclatasvir	3A457
delavirdine	enhances	dapsone	3A457
delavirdine	enhances	deflazacort	3A457
delavirdine	enhances	dexamethasone	3A457
delavirdine	enhances	dextromethorphan	3A457
delavirdine	enhances	diazepam	3A457
delavirdine	enhances	diltiazem	3A457
delavirdine	enhances	docetaxel	3A457
delavirdine	enhances	dolutegravir	3A457
delavirdine	enhances	domperidone	3A457
delavirdine	enhances	doxepin	3A457
delavirdine	enhances	elagolix	3A457
delavirdine	enhances	elbasvir	3A457
delavirdine	enhances	eliglustat	3A457
delavirdine	enhances	enzalutamide	3A457
delavirdine	enhances	eplerenone	3A457
delavirdine	enhances	ergotamine	3A457
delavirdine	enhances	erythromycin	3A457
delavirdine	enhances	escitalopram	3A457
delavirdine	enhances	esomeprazole	3A457
delavirdine	enhances	estradiol	3A457
delavirdine	enhances	felodipine	3A457
delavirdine	enhances	fentanyl	3A457
delavirdine	enhances	finasteride	3A457
delavirdine	enhances	flibanserin	3A457
delavirdine	enhances	haloperidol	3A457
delavirdine	enhances	hydrocortisone	3A457
delavirdine	enhances	ibrutinib	3A457
delavirdine	enhances	idelalisib	3A457
delavirdine	enhances	imatinib	3A457
delavirdine	enhances	indacaterol	3A457
delavirdine	enhances	indinavir	3A457
delavirdine	enhances	irinotecan	3A457
delavirdine	enhances	isavuconazole	3A457
delavirdine	enhances	ivabradine	3A457
delavirdine	enhances	ivacaftor	3A457
delavirdine	enhances	lansoprazole	3A457
delavirdine	enhances	lenvatinib	3A457
delavirdine	enhances	lercanidipine	3A457
delavirdine	enhances	levacetylmethadol	3A457
delavirdine	enhances	lidocaine	3A457
delavirdine	enhances	linagliptin	3A457
delavirdine	enhances	lovastatin	3A457
delavirdine	enhances	macitentan	3A457
delavirdine	enhances	methadone	3A457
delavirdine	enhances	midazolam	3A457
delavirdine	enhances	naldemedine	3A457
delavirdine	enhances	naloxegol	3A457
delavirdine	enhances	nateglinide	3A457
delavirdine	enhances	nelfinavir	3A457
delavirdine	enhances	neratinib	3A457
delavirdine	enhances	nevirapine	3A457
delavirdine	enhances	nifedipine	3A457
delavirdine	enhances	nisoldipine	3A457
delavirdine	enhances	nitrendipine	3A457
delavirdine	enhances	olaparib	3A457
delavirdine	enhances	omeprazole	3A457
delavirdine	enhances	ondansetron	3A457
delavirdine	enhances	osimertinib	3A457
delavirdine	enhances	ospemifene	3A457
delavirdine	enhances	paclitaxel	3A457
delavirdine	enhances	palbociclib	3A457
delavirdine	enhances	palonosetron	3A457
delavirdine	enhances	panobinostat	3A457
delavirdine	enhances	pantoprazole	3A457
delavirdine	enhances	perampanel	3A457
delavirdine	enhances	pimavanserin	3A457
delavirdine	enhances	pimozide	3A457
delavirdine	enhances	pomalidomide	3A457
delavirdine	enhances	ponatinib	3A457
delavirdine	enhances	progesterone	3A457
delavirdine	enhances	propranolol	3A457
delavirdine	enhances	quetiapine	3A457
delavirdine	enhances	quinidine	3A457
delavirdine	enhances	quinine	3A457
delavirdine	enhances	regorafenib	3A457
delavirdine	enhances	ribociclib	3A457
delavirdine	enhances	rilpivirine	3A457
delavirdine	enhances	risperidone	3A457
delavirdine	enhances	ritonavir	3A457
delavirdine	enhances	rivaroxaban	3A457
delavirdine	enhances	roflumilast	3A457
delavirdine	enhances	rolapitant	3A457
delavirdine	enhances	romidepsin	3A457
delavirdine	enhances	rucaparib	3A457
delavirdine	enhances	ruxolitinib	3A457
delavirdine	enhances	salmeterol	3A457
delavirdine	enhances	saquinavir	3A457
delavirdine	enhances	selexipag	3A457
delavirdine	enhances	sildenafil	3A457
delavirdine	enhances	simeprevir	3A457
delavirdine	enhances	simvastatin	3A457
delavirdine	enhances	sirolimus	3A457
delavirdine	enhances	sonidegib	3A457
delavirdine	enhances	sorafenib	3A457
delavirdine	enhances	sunitinib	3A457
delavirdine	enhances	suvorexant	3A457
delavirdine	enhances	tacrolimus	3A457
delavirdine	enhances	tadalafil	3A457
delavirdine	enhances	tamoxifen	3A457
delavirdine	enhances	tasimelteon	3A457
delavirdine	enhances	telaprevir	3A457
delavirdine	enhances	telithromycin	3A457
delavirdine	enhances	temsirolimus	3A457
delavirdine	enhances	terfenadine	3A457
delavirdine	enhances	testosterone	3A457
delavirdine	enhances	ticagrelor	3A457
delavirdine	enhances	tofacitinib	3A457
delavirdine	enhances	tolvaptan	3A457
delavirdine	enhances	tramadol	3A457
delavirdine	enhances	trazodone	3A457
delavirdine	enhances	triazolam	3A457
delavirdine	enhances	valbenazine	3A457
delavirdine	enhances	vandetanib	3A457
delavirdine	enhances	vardenafil	3A457
delavirdine	enhances	velpatasvir	3A457
delavirdine	enhances	vemurafenib	3A457
delavirdine	enhances	venetoclax	3A457
delavirdine	enhances	venlafaxine	3A457
delavirdine	enhances	verapamil	3A457
delavirdine	enhances	vilazodone	3A457
delavirdine	enhances	vincristine	3A457
delavirdine	enhances	vorapaxar	3A457
delavirdine	enhances	voriconazole	3A457
delavirdine	enhances	zaleplon	3A457
delavirdine	enhances	ziprasidone	3A457
delavirdine	enhances	zolpidem	3A457
dexamethasone	reduces	alprenolol	2D6
dexamethasone	reduces	amfetamine	2D6
dexamethasone	reduces	amitriptyline	2D6
dexamethasone	reduces	aripiprazole	2D6
dexamethasone	reduces	atomoxetine	2D6
dexamethasone	reduces	brexpiprazole	2D6
dexamethasone	reduces	cariprazine	2D6
dexamethasone	reduces	carvedilol	2D6
dexamethasone	reduces	chlorpheniramine	2D6
dexamethasone	reduces	chlorpromazine	2D6
dexamethasone	reduces	citalopram	2D6
dexamethasone	reduces	clomipramine	2D6
dexamethasone	reduces	clonidine	2D6
dexamethasone	reduces	codeine	2D6
dexamethasone	reduces	debrisoquine	2D6
dexamethasone	reduces	desipramine	2D6
dexamethasone	reduces	dexfenfluramine	2D6
dexamethasone	reduces	dextromethorphan	2D6
dexamethasone	reduces	donepezil	2D6
dexamethasone	reduces	doxepin	2D6
dexamethasone	reduces	duloxetine	2D6
dexamethasone	reduces	eliglustat	2D6
dexamethasone	reduces	encainide	2D6
dexamethasone	reduces	escitalopram	2D6
dexamethasone	reduces	flecainide	2D6
dexamethasone	reduces	fluoxetine	2D6
dexamethasone	reduces	fluvoxamine	2D6
dexamethasone	reduces	haloperidol	2D6
dexamethasone	reduces	ibrutinib	2D6
dexamethasone	reduces	imipramine	2D6
dexamethasone	reduces	letermovir	2D6
dexamethasone	reduces	lidocaine	2D6
dexamethasone	reduces	metoclopramide	2D6
dexamethasone	reduces	metoprolol	2D6
dexamethasone	reduces	mexiletine	2D6
dexamethasone	reduces	minaprine	2D6
dexamethasone	reduces	nebivolol	2D6
dexamethasone	reduces	nortriptyline	2D6
dexamethasone	reduces	ondansetron	2D6
dexamethasone	reduces	oxycodone	2D6
dexamethasone	reduces	palonosetron	2D6
dexamethasone	reduces	paroxetine	2D6
dexamethasone	reduces	perhexiline	2D6
dexamethasone	reduces	perphenazine	2D6
dexamethasone	reduces	phenacetin	2D6
dexamethasone	reduces	phenformin	2D6
dexamethasone	reduces	pimavanserin	2D6
dexamethasone	reduces	pomalidomide	2D6
dexamethasone	reduces	ponatinib	2D6
dexamethasone	reduces	promethazine	2D6
dexamethasone	reduces	propafenone	2D6
dexamethasone	reduces	propranolol	2D6
dexamethasone	reduces	risperidone	2D6
dexamethasone	reduces	rucaparib	2D6
dexamethasone	reduces	sparteine	2D6
dexamethasone	reduces	tamoxifen	2D6
dexamethasone	reduces	tetrabenazine	2D6
dexamethasone	reduces	thioridazine	2D6
dexamethasone	reduces	timolol	2D6
dexamethasone	reduces	tramadol	2D6
dexamethasone	reduces	umeclidinium	2D6
dexamethasone	reduces	valbenazine	2D6
dexamethasone	reduces	venlafaxine	2D6
dexamethasone	reduces	vilazodone	2D6
dexamethasone	reduces	zuclopenthixol	2D6
diltiazem	enhances	abemaciclib	3A457
diltiazem	enhances	abiraterone	3A457
diltiazem	enhances	acalabrutinib	3A457
diltiazem	enhances	alectinib	3A457
diltiazem	enhances	alfentanil	3A457
diltiazem	enhances	alprazolam	3A457
diltiazem	enhances	amitriptyline	3A457
diltiazem	enhances	amlodipine	3A457
diltiazem	enhances	apixaban	3A457
diltiazem	enhances	aprepitant	3A457
diltiazem	enhances	aripiprazole	3A457
diltiazem	enhances	astemizole	3A457
diltiazem	enhances	atorvastatin	3A457
diltiazem	enhances	avanafil	3A457
diltiazem	enhances	axitinib	3A457
diltiazem	enhances	boceprevir	3A457
diltiazem	enhances	bosutinib	3A457
diltiazem	enhances	brexpiprazole	3A457
diltiazem	enhances	buspirone	3A457
diltiazem	enhances	caffeine	3A457
diltiazem	enhances	cariprazine	3A457
diltiazem	enhances	ceritinib	3A457
diltiazem	enhances	cerivastatin	3A457
diltiazem	enhances	chlorpheniramine	3A457
diltiazem	enhances	cilostazol	3A457
diltiazem	enhances	cisapride	3A457
diltiazem	enhances	citalopram	3A457
diltiazem	enhances	clarithromycin	3A457
diltiazem	enhances	clopidogrel	3A457
diltiazem	enhances	cobimetinib	3A457
diltiazem	enhances	cocaine	3A457
diltiazem	enhances	codeine	3A457
diltiazem	enhances	colchicine	3A457
diltiazem	enhances	copanlisib	3A457
diltiazem	enhances	crizotinib	3A457
diltiazem	enhances	cyclosporine	3A457
diltiazem	enhances	daclatasvir	3A457
diltiazem	enhances	dapsone	3A457
diltiazem	enhances	deflazacort	3A457
diltiazem	enhances	dexamethasone	3A457
diltiazem	enhances	dextromethorphan	3A457
diltiazem	enhances	diazepam	3A457
diltiazem	enhances	docetaxel	3A457
diltiazem	enhances	dolutegravir	3A457
diltiazem	enhances	domperidone	3A457
diltiazem	enhances	doxepin	3A457
diltiazem	enhances	elbasvir	3A457
diltiazem	enhances	eliglustat	3A457
diltiazem	enhances	eplerenone	3A457
diltiazem	enhances	ergotamine	3A457
diltiazem	enhances	erythromycin	3A457
diltiazem	enhances	escitalopram	3A457
diltiazem	enhances	esomeprazole	3A457
diltiazem	enhances	estradiol	3A457
diltiazem	enhances	felodipine	3A457
diltiazem	enhances	fentanyl	3A457
diltiazem	enhances	finasteride	3A457
diltiazem	enhances	flibanserin	3A457
diltiazem	enhances	haloperidol	3A457
diltiazem	enhances	hydrocortisone	3A457
diltiazem	enhances	ibrutinib	3A457
diltiazem	enhances	idelalisib	3A457
diltiazem	enhances	imatinib	3A457
diltiazem	enhances	indacaterol	3A457
diltiazem	enhances	indinavir	3A457
diltiazem	enhances	irinotecan	3A457
diltiazem	enhances	isavuconazole	3A457
